Player Name,Team,Pos,Games,OG,OA,Pts,+/-,PIM,SOG,GWG,PPG,PPA,SHG,SHA,Hits,BS
Mikael Backlund,CGY,C,82,19,37,56,24,36,260,2,5,7,1,3,97,31
T.J. Oshie,WAS,RW,58,19,16,35,-18,59,126,2,9,2,0,0,125,34
Filip Forsberg,NSH,RW,50,19,23,42,-4,20,157,2,4,9,0,0,86,20
Brandon Saad,STL,LW,71,19,18,37,-8,12,127,1,2,2,2,1,24,31
Phillip Danault,LA,C,82,18,36,54,-8,63,152,1,3,17,0,2,81,75
Blake Coleman,CGY,C,82,18,20,38,9,54,188,2,0,0,2,0,107,39
Scott Laughton,PHI,C,78,18,25,43,-9,50,170,0,5,4,3,4,156,57
Brady Skjei,CAR,D,81,18,20,38,7,40,188,3,4,3,1,0,71,62
Brent Burns,CAR,D,82,18,43,61,19,44,255,2,4,19,0,0,40,86
Roman Josi,NSH,D,67,18,41,59,5,36,269,5,8,16,0,0,51,146
Kevin Hayes,PHI,C,81,18,36,54,-22,23,209,1,6,10,0,0,52,22
Vladimir Tarasenko,NYR,RW,69,18,32,50,-14,8,169,1,3,11,1,0,75,36
Dillon Dube,CGY,C,82,18,27,45,-6,47,151,3,1,3,2,0,136,21
Brock Boeser,VAN,RW,74,18,37,55,-20,24,178,3,6,10,0,0,49,32
Anthony Beauvillier,VAN,LW,82,18,22,40,-10,24,176,5,3,1,0,0,78,30
Eeli Tolvanen,SEA,LW,61,18,13,31,8,14,116,4,4,3,0,0,91,51
Robert Thomas,STL,C,73,18,47,65,-8,22,106,2,5,17,1,0,15,29
Jesperi Kotkaniemi,CAR,LW,82,18,25,43,10,50,129,2,3,8,1,0,105,21
Kaapo Kakko,NYR,RW,82,18,22,40,12,8,125,2,0,3,0,0,26,27
Lucas Raymond,DET,RW,74,17,28,45,-17,24,134,4,5,14,0,0,43,20
Eetu Luostarinen,FLA,LW,82,17,26,43,19,28,132,1,2,3,0,1,64,51
Cale Makar,COL,D,60,17,49,66,16,30,176,6,5,25,0,0,65,78
Mason McTavish,ANH,C,80,17,26,43,-19,44,161,1,7,7,0,0,55,37
Andrew Mangiapane,CGY,LW,82,17,26,43,12,40,182,1,2,2,0,2,86,26
Thomas Novak,NSH,C,51,17,26,43,5,8,93,3,5,7,0,0,9,23
Conor Garland,VAN,RW,81,17,29,46,-5,31,167,2,2,10,0,0,47,20
Trent Frederic,BOS,C,79,17,14,31,28,57,120,6,0,0,0,1,105,36
Pierre Engvall,NYI,LW,76,17,13,30,8,21,131,4,1,2,0,0,47,6
Nick Paul,TB,LW,80,17,15,32,11,33,120,4,4,0,1,0,111,46
Valeri Nichushkin,COL,LW,53,17,30,47,15,2,158,2,10,6,1,2,54,37
J.T. Compher,COL,C,82,17,35,52,8,33,154,3,5,9,0,0,37,82
Nick Bjugstad,EDM,C,78,17,12,29,13,34,145,1,1,0,1,0,168,44
Jordan Staal,CAR,C,81,17,17,34,7,32,124,3,0,0,1,1,155,39
Mark Stone,VGK,RW,43,17,21,38,11,10,113,1,3,6,2,0,31,23
Chandler Stephenson,VGK,C,81,16,49,65,12,26,120,5,6,9,1,2,74,56
Blake Wheeler,WPG,RW,72,16,39,55,-3,46,126,6,7,8,0,0,54,35
David Krejci,BOS,C,70,16,40,56,23,20,112,2,4,8,0,0,41,38
Taylor Hall,BOS,LW,61,16,20,36,11,24,150,5,4,4,0,0,35,33
Charlie Coyle,BOS,C,82,16,29,45,29,30,139,0,0,0,1,4,68,63
Ryan O'Reilly,TOR,C,53,16,14,30,-21,16,102,4,1,4,1,0,18,23
Kyle Palmieri,NYI,RW,55,16,17,33,13,24,122,3,3,2,0,0,76,17
Evander Kane,EDM,LW,41,16,12,28,-4,53,146,3,0,2,1,1,124,15
William Carrier,VGK,LW,56,16,9,25,15,30,118,7,0,0,0,0,133,22
Josh Morrissey,WPG,D,78,16,60,76,2,41,172,6,2,26,0,0,89,119
Sam Bennett,FLA,LW,63,16,24,40,5,54,193,3,4,5,0,0,150,35
Evan Rodrigues,COL,C,69,16,23,39,7,30,184,2,6,5,0,0,34,27
Ivan Barbashev,VGK,LW,82,16,29,45,1,42,126,2,2,3,0,1,182,46
Michael Amadio,VGK,C,67,16,11,27,2,12,99,2,1,1,0,0,56,27
Brandon Montour,FLA,D,80,16,57,73,9,107,242,5,3,30,0,0,92,93
Brandon Tanev,SEA,LW,82,16,19,35,21,44,115,3,0,0,1,0,190,68
Kent Johnson,CLS,C,79,16,24,40,-19,14,126,3,5,7,0,0,15,30
Ross Colton,TB,LW,81,16,16,32,-8,50,153,3,4,5,0,0,188,28
Alexis Lafreniere,NYR,LW,81,16,23,39,10,33,135,2,3,1,0,0,141,28
Jonatan Berggren,DET,RW,67,15,13,28,-14,16,98,0,5,4,0,0,20,28
Casey Mittelstadt,BUF,C,82,15,44,59,-8,22,135,2,4,12,1,0,30,16
Joel Farabee,PHI,LW,82,15,24,39,-1,41,145,1,0,2,0,0,71,45
Rasmus Dahlin,BUF,D,78,15,58,73,12,92,204,2,6,26,0,0,105,132
Alexander Barabanov,SJ,RW,68,15,32,47,-30,20,120,2,3,10,0,0,40,37
Kasperi Kapanen,STL,RW,66,15,19,34,-8,18,116,5,3,3,1,0,99,20
Kevin Labanc,SJ,RW,72,15,18,33,-17,36,129,0,2,1,0,0,70,28
Conor Sheary,WAS,LW,82,15,22,37,9,22,154,1,2,5,2,0,57,39
Ryan Hartman,MIN,RW,59,15,22,37,7,90,149,6,1,3,2,2,62,48
Jonathan Toews,CHI,C,53,15,16,31,-31,43,87,1,9,3,0,0,9,23
Jonathan Huberdeau,CGY,LW,79,15,40,55,2,36,126,1,4,11,0,0,65,27
Ryan Strome,ANH,C,82,15,26,41,-30,79,130,2,1,3,0,0,29,24
Travis Boyd,ARI,C,82,15,19,34,-32,26,94,3,2,8,0,0,39,59
William Karlsson,VGK,C,82,14,39,53,14,10,161,2,2,7,2,3,50,50
Erik Haula,NJ,C,80,14,27,41,13,47,164,0,2,5,2,1,92,54
Yanni Gourde,SEA,LW,81,14,34,48,23,76,141,2,3,1,1,0,118,54
Phil Kessel,VGK,RW,82,14,22,36,-7,30,149,0,2,7,0,0,10,28
Eric Staal,FLA,C,72,14,15,29,-5,26,106,1,0,0,2,0,27,45
Mike Hoffman,MON,LW,67,14,20,34,-10,28,148,3,1,9,0,0,24,24
Nikita Zadorov,CGY,D,82,14,7,21,10,80,130,2,0,1,0,0,174,75
Aaron Ekblad,FLA,D,71,14,24,38,-14,68,216,2,8,11,1,0,77,80
Noel Acciari,TOR,C,77,14,9,23,-4,21,102,2,0,0,0,2,244,81
Ryan Donato,SEA,C,71,14,13,27,16,46,122,0,0,2,0,0,69,12
Nicolas Roy,VGK,C,65,14,16,30,10,24,101,5,3,3,0,1,83,41
Mathew Barzal,NYI,C,58,14,37,51,5,22,139,5,4,15,0,0,25,34
Vince Dunn,SEA,D,81,14,50,64,28,55,149,2,0,15,0,0,115,80
Pius Suter,DET,LW,79,14,10,24,-3,6,106,1,0,0,2,0,39,37
Cody Glass,NSH,C,72,14,21,35,9,20,131,2,6,3,0,0,62,31
Alex Iafallo,LA,C,59,14,22,36,14,20,133,5,7,1,0,0,27,33
Kirby Dach,MON,C,58,14,24,38,-2,43,107,2,6,10,0,2,53,38
Nico Sturm,SJ,C,74,14,12,26,-13,23,119,1,0,0,1,0,100,45
Rafael Harvey-Pinard,MON,LW,34,14,6,20,7,10,58,1,4,0,1,0,57,56
Alex Newhook,COL,C,82,14,16,30,0,22,116,3,1,1,0,0,60,26
Jack Quinn,BUF,C,75,14,23,37,-7,15,126,2,1,5,0,1,43,19
Seth Jarvis,CAR,RW,82,14,25,39,10,12,187,0,0,5,1,0,73,48
Arthur Kaliyev,LA,RW,56,13,15,28,-5,12,122,1,8,4,0,0,40,10
Paul Cotter,VGK,C,55,13,5,18,-5,15,76,1,0,0,0,0,168,17
Yegor Sharangovich,NJ,LW,75,13,17,30,-3,16,131,2,0,0,2,2,22,41
Noah Dobson,NYI,D,78,13,36,49,4,20,206,2,5,14,0,0,60,104
Noah Cates,PHI,LW,82,13,25,38,3,12,107,5,3,5,1,1,86,65
Derek Ryan,EDM,C,80,13,7,20,11,28,92,0,0,0,2,1,54,42
Christian Fischer,ARI,RW,80,13,14,27,-7,20,122,0,0,1,1,0,126,37
Denis Malgin,COL,C,65,13,8,21,4,8,112,1,0,1,0,0,68,18
Ilya Mikheyev,VAN,RW,46,13,15,28,3,2,91,2,1,2,0,0,13,14
Warren Foegele,EDM,LW,67,13,15,28,7,28,126,4,0,0,1,0,96,22
Nick Ritchie,CGY,LW,74,13,13,26,-21,53,120,2,4,6,0,0,218,32
Gustav Forsling,FLA,D,82,13,28,41,19,40,209,3,1,4,0,2,69,106
Nic Dowd,WAS,C,65,13,12,25,6,26,62,3,0,0,0,1,136,61
Garnet Hathaway,BOS,RW,84,13,9,22,5,69,88,3,0,0,0,1,268,83
Alexander Wennberg,SEA,C,82,13,25,38,-7,20,101,3,4,5,0,0,43,63
Andre Burakovsky,SEA,LW,49,13,26,39,-9,14,105,3,4,10,0,0,17,15
Miles Wood,NJ,LW,76,13,14,27,1,76,167,2,2,1,0,0,100,19
Jeff Carter,PIT,C,79,13,16,29,-16,30,139,2,4,5,0,1,80,54
Derick Brassard,OTT,C,62,13,10,23,3,30,92,4,5,5,0,0,90,10
Tom Wilson,WAS,RW,33,13,9,22,-13,78,82,1,4,1,0,0,97,30
Jordan Martinook,CAR,LW,82,13,21,34,7,61,162,3,0,0,1,1,81,31
Shayne Gostisbehere,CAR,D,75,13,28,41,-5,32,155,2,5,10,2,0,46,89
Jean-Gabriel Pageau,NYI,C,70,13,27,40,-2,14,123,2,5,3,3,1,175,61
Adam Lowry,WPG,LW,82,13,23,36,4,48,126,2,0,2,3,2,161,46
Stefan Noesen,CAR,C,78,13,23,36,11,32,134,4,7,8,0,0,99,18
